"State","Year","mortality"
"MN","2002",180.255504587156
"MN","2003",169.1
"MN","2004",163.257110091743
"MN","2005",151.046100917431
"MN","2006",140.10504587156
"MN","2007",135.721788990826
"MN","2008",133.734174311927
"MN","2009",125.657798165138
"MN","2010",127.658944954128
"MN","2011",123.460321100917
"MN","2012",117.59495412844
"MN","2013",113.647247706422
"MN","2014",117.051146788991
"MN","2015",117.966743119266
"MN","2016",113.589908256881
"MN","2017",112.729587155963
"MN","2018",110.46123853211
"MN","2019",110.029816513761
"MO","1999",227.117870036101
"MO","2000",221.118050541516
"MO","2001",215.88916967509
"MO","2002",214.679783393502
"MO","2003",204.251805054152
"MO","2004",193.794584837545
"MO","2005",184.655415162455
"MO","2006",174.816245487365
"MO","2007",171.57274368231
"MO","2008",171.693501805054
"MO","2009",156.686462093863
"MO","2010",153.566064981949
"MO","2011",149.721299638989
"MO","2012",144.903249097473
"MO","2013",142.443682310469
"MO","2014",144.089711191336
"MO","2015",140.736642599278
"MO","2016",137.952527075812
"MO","2017",136.954151624549
"MO","2018",129.504151624549
"MO","2019",127.456137184116
"MS","1999",245.870528455285
"MS","2000",253.441056910569
"MS","2001",247.536178861789
"MS","2002",249.899390243902
"MS","2003",228.993699186992
"MS","2004",214.859349593496
"MS","2005",208.05081300813
"MS","2006",195.428048780488
"MS","2007",191.976422764228
"MS","2008",186.219105691057
"MS","2009",171.567682926829
"MS","2010",173.589430894309
"MS","2011",170.036991869919
"MS","2012",162.169715447154
"MS","2013",163.411382113821
"MS","2014",165.422967479675
"MS","2015",172.159959349593
"MS","2016",170.523983739837
"MS","2017",169.142276422764
"MS","2018",170.701219512195
"MS","2019",171.662601626016
"MT","1999",199.904672897196
"MT","2000",195.386448598131
"MT","2001",193.132710280374
"MT","2002",190.681775700935
"MT","2003",176.808411214953
"MT","2004",158.823364485981
"MT","2005",156.384112149533
"MT","2006",140.421495327103
"MT","2007",134.092523364486
"MT","2008",131.778037383178
"MT","2009",125.241588785047
"MT","2010",129.761214953271
"MT","2011",123.478971962617
"MT","2012",116.696728971963
"MT","2013",118.398598130841
"MT","2014",118.254672897196
"MT","2015",115.085046728972
"MT","2016",110.556542056075
"MT","2017",110.44953271028
"MT","2018",103.816822429907
"MT","2019",100.068691588785
"NC","1999",258.850142450142
"NC","2000",258.387179487179
"NC","2001",242.819800569801
"NC","2002",235.680769230769
"NC","2003",229.650427350427
"NC","2004",212.449857549858
"NC","2005",198.484757834758
"NC","2006",179.161823361823
"NC","2007",174.068660968661
"NC","2008",168.372934472934
"NC","2009",158.12037037037
"NC","2010",149.886467236467
"NC","2011",146.883618233618
"NC","2012",142.391310541311
"NC","2013",140.621367521368
"NC","2014",140.926923076923
"NC","2015",147.230056980057
"NC","2016",142.582478632479
"NC","2017",139.484757834758
"NC","2018",137.468660968661
"NC","2019",137.819088319088
"ND","1999",199.490731707317
"ND","2000",189.427317073171
"ND","2001",189.92243902439
"ND","2002",183.202926829268
"ND","2003",175.728780487805
"ND","2004",166.593658536585
"ND","2005",151.993658536585
"ND","2006",140.46243902439
"ND","2007",135.023902439024
"ND","2008",131.311707317073
"ND","2009",126.376585365854
"ND","2010",134.549756097561
"ND","2011",127.583902439024
"ND","2012",121.601463414634
"ND","2013",118.354146341463
"ND","2014",119.369268292683
"ND","2015",116.874146341463
"ND","2016",112.072682926829
"ND","2017",113.031707317073
"ND","2018",107.926341463415
"ND","2019",105.628292682927
"NE","1999",205.40549132948
"NE","2000",203.592485549133
"NE","2001",202.755780346821
"NE","2002",203.212427745665
"NE","2003",194.107225433526
"NE","2004",178.571676300578
"NE","2005",172.671965317919
"NE","2006",162.863583815029
"NE","2007",158.126300578035
"NE","2008",151.243063583815
"NE","2009",142.064161849711
"NE","2010",139.259248554913
"NE","2011",132.602312138728
"NE","2012",128.218497109827
"NE","2013",123.38063583815
"NE","2014",124.199132947977
"NE","2015",121.578612716763
"NE","2016",118.221676300578
"NE","2017",116.385549132948
"NE","2018",111.421676300578
"NE","2019",109.535549132948
"NH","1999",187.28813559322
"NH","2000",184.064406779661
"NH","2001",175.037288135593
"NH","2002",168.837288135593
"NH","2003",150.905084745763
"NH","2004",143.530508474576
"NH","2005",125.557627118644
"NH","2006",119.186440677966
"NH","2007",115.152542372881
"NH","2008",112.520338983051
"NH","2009",106.774576271186
"NH","2010",107.210169491525
"NH","2011",102.683050847458
"NH","2012",98.2152542372881
"NH","2013",94.6406779661017
"NH","2014",93.0406779661017
"NH","2015",93.5033898305085
"NH","2016",93.8203389830508
"NH","2017",93.9610169491525
"NH","2018",93.5796610169491
"NH","2019",91.4525423728814
"NJ","1999",165.33631840796
"NJ","2000",171.031343283582
"NJ","2001",162.841293532338
"NJ","2002",158.177611940299
"NJ","2003",155.277114427861
"NJ","2004",144.54776119403
"NJ","2005",138.560199004975
"NJ","2006",130.411940298507
"NJ","2007",126.291542288557
"NJ","2008",118.390049751244
"NJ","2009",113.78407960199
"NJ","2010",116.926368159204
"NJ","2011",117.242786069652
"NJ","2012",113.85223880597
"NJ","2013",112.9592039801
"NJ","2014",111.53184079602
"NJ","2015",112.162686567164
"NJ","2016",109.824378109453
"NJ","2017",109.078109452736
"NJ","2018",107.8407960199
"NJ","2019",107.795024875622
"NM","1999",171.047887323944
"NM","2000",164.592957746479
"NM","2001",161.830516431925
"NM","2002",155.573708920188
"NM","2003",155.223943661972
"NM","2004",145.229107981221
"NM","2005",137.781220657277
"NM","2006",131.988732394366
"NM","2007",134.332394366197
"NM","2008",130.606572769953
"NM","2009",122.907511737089
"NM","2010",123.645539906103
"NM","2011",115.264319248826
"NM","2012",109.458215962441
"NM","2013",109.079812206573
"NM","2014",113.711737089202
"NM","2015",109.928638497653
"NM","2016",111.050704225352
"NM","2017",112.0220657277
"NM","2018",106.807042253521
"NM","2019",105.837558685446
"NV","1999",175.29175257732
"NV","2000",172.953608247423
"NV","2001",172.59587628866
"NV","2002",171.88969072165
"NV","2003",168.788659793814
"NV","2004",157.90412371134
"NV","2005",146.674226804124
"NV","2006",133.70412371134
"NV","2007",130.419587628866
"NV","2008",122.645360824742
"NV","2009",114.20824742268
"NV","2010",113.485567010309
"NV","2011",109.996907216495
"NV","2012",105.826804123711
"NV","2013",106.045360824742
"NV","2014",105.947422680412
"NV","2015",108.514432989691
"NV","2016",110.096907216495
"NV","2017",113.873195876289
"NV","2018",115.087628865979
"NV","2019",116.055670103093
"NY","1999",162.370044052863
"NY","2000",159.01718061674
"NY","2001",153.001982378855
"NY","2002",148.493171806167
"NY","2003",140.377973568282
"NY","2004",131.159911894273
"NY","2005",122.379735682819
"NY","2006",114.878414096916
"NY","2007",111.283259911894
"NY","2008",108.137665198238
"NY","2009",102.997577092511
"NY","2010",106.248017621145
"NY","2011",102.674889867841
"NY","2012",99.15
"NY","2013",98.5178414096916
"NY","2014",95.129295154185
"NY","2015",95.4099118942731
"NY","2016",92.3438325991189
"NY","2017",90.2909691629956
"NY","2018",90.2295154185022
"NY","2019",87.5235682819383
"OH","1999",208.940856031128
"OH","2000",204.918871595331
"OH","2001",196.666147859922
"OH","2002",198.851361867704
"OH","2003",192.079377431907
"OH","2004",178.534824902724
"OH","2005",167.58560311284
"OH","2006",154.187743190661
"OH","2007",152.068482490272
"OH","2008",150.51439688716
"OH","2009",140.366926070039
"OH","2010",141.48813229572
"OH","2011",137.750194552529
"OH","2012",135.128015564202
"OH","2013",130.80953307393
"OH","2014",130.532101167315
"OH","2015",132.985214007782
"OH","2016",132.467898832685
"OH","2017",134.985214007782
"OH","2018",134.150972762646
"OH","2019",134.047276264591
"OK","1999",205.23368869936
"OK","2000",205.07697228145
"OK","2001",199.46631130064
"OK","2002",199.280597014925
"OK","2003",198.567590618337
"OK","2004",187.826439232409
"OK","2005",179.332622601279
"OK","2006",167.83091684435
"OK","2007",168.887420042644
"OK","2008",158.042004264392
"OK","2009",145.875692963753
"OK","2010",146.006396588486
"OK","2011",139.295948827292
"OK","2012",135.371641791045
"OK","2013",132.86012793177
"OK","2014",130.777825159915
"OK","2015",130.579317697228
"OK","2016",123.864392324094
"OK","2017",124.678464818763
"OK","2018",119.226865671642
"OK","2019",115.088272921109
"OR","1999",217.847345132743
"OR","2000",206.503539823009
"OR","2001",202.661504424779
"OR","2002",198.810619469027
"OR","2003",190.562389380531
"OR","2004",174.523008849558
"OR","2005",165.029646017699
"OR","2006",147.408407079646
"OR","2007",139.895132743363
"OR","2008",137.77610619469
"OR","2009",129.469469026549
"OR","2010",125.234513274336
"OR","2011",121.580530973451
"OR","2012",113.088495575221
"OR","2013",113.246460176991
"OR","2014",113.480530973451
"OR","2015",114.776991150442
"OR","2016",117.221681415929
"OR","2017",121.414601769911
"OR","2018",120.717256637168
"OR","2019",122.016814159292
"PA","1999",192.2018735363
"PA","2000",195.215222482436
"PA","2001",187.429508196721
"PA","2002",184.28243559719
"PA","2003",178.167915690867
"PA","2004",167.830444964871
"PA","2005",161.014988290398
"PA","2006",150.391569086651
"PA","2007",147.912412177986
"PA","2008",142.843091334895
"PA","2009",137.340983606557
"PA","2010",137.005854800937
"PA","2011",133.167447306792
"PA","2012",126.388056206089
"PA","2013",123.984309133489
"PA","2014",123.025526932084
"PA","2015",126.504918032787
"PA","2016",121.080327868852
"PA","2017",118.560421545667
"PA","2018",116.119672131148
"PA","2019",115.042857142857
"RI","1999",131.647368421053
"RI","2000",127.889473684211
"RI","2001",125.536842105263
"RI","2002",123
"RI","2003",118.857894736842
"RI","2004",109.336842105263
"RI","2005",102.747368421053
"RI","2006",93.2657894736842
"RI","2007",90.5105263157895
"RI","2008",89.678947368421
"RI","2009",83.0157894736842
"RI","2010",79.4921052631579
"RI","2011",77.5657894736842
"RI","2012",76.4921052631579
"RI","2013",73.2236842105263
"RI","2014",71.0421052631579
"RI","2015",72.3631578947368
"RI","2016",72.4
"RI","2017",73.65
"RI","2018",73.8473684210526
"RI","2019",73.1894736842105
"SC","1999",281.609356725146
"SC","2000",277.059941520468
"SC","2001",262.80730994152
"SC","2002",255.371929824561
"SC","2003",246.497368421053
"SC","2004",222.983918128655
"SC","2005",208.617543859649
"SC","2006",191.237719298246
"SC","2007",190.425438596491
"SC","2008",184.645029239766
"SC","2009",174.973684210526
"SC","2010",165.873391812865
"SC","2011",159.580116959064
"SC","2012",156.746783625731
"SC","2013",158.942105263158
"SC","2014",159.122807017544
"SC","2015",163.704385964912
"SC","2016",158.336842105263
"SC","2017",156.150584795322
"SC","2018",156.900292397661
"SC","2019",149.611403508772
"SD","1999",193.434297520661
"SD","2000",189.304132231405
"SD","2001",183.415702479339
"SD","2002",180.040909090909
"SD","2003",171.014876033058
"SD","2004",165.593801652893
"SD","2005",160.90041322314
"SD","2006",146.846694214876
"SD","2007",142.032231404959
"SD","2008",140.835123966942
"SD","2009",136.135950413223
"SD","2010",140.535537190083
"SD","2011",134.463223140496
"SD","2012",127.031818181818
"SD","2013",125.005785123967
"SD","2014",127.806611570248
"SD","2015",124.722727272727
"SD","2016",119.296280991736
"SD","2017",119.611570247934
"SD","2018",111.814049586777
"SD","2019",110.345867768595
"TN","1999",253.86247582205
"TN","2000",260.473887814313
"TN","2001",248.045647969052
"TN","2002",241.163829787234
"TN","2003",232.352611218569
"TN","2004",216.741199226306
"TN","2005",207.501547388781
"TN","2006",191.966344294004
"TN","2007",188.985880077369
"TN","2008",180.83829787234
"TN","2009",166.847775628627
"TN","2010",163.438684719536
"TN","2011",159.259767891683
"TN","2012",152.855899419729
"TN","2013",150.758800773694
"TN","2014",148.192263056093
"TN","2015",154.80580270793
"TN","2016",152.763636363636
"TN","2017",147.580464216634
"TN","2018",145.286460348162
"TN","2019",140.482205029014
"TX","1999",216.138231292517
"TX","2000",212.060068027211
"TX","2001",210.061768707483
"TX","2002",206.818979591837
"TX","2003",200.86462585034
"TX","2004",184.694285714286
"TX","2005",172.547619047619
"TX","2006",167.125034013605
"TX","2007",169.320816326531
"TX","2008",164.084489795918
"TX","2009",150.805102040816
"TX","2010",149.212585034014
"TX","2011",142.884897959184
